Epoch	loss	F-Rr	lAUC1	lAUC2	lAUC3	AUC1	AUC2	AUC3
76	0.400313	7.5984	8.1896	7.0867	19.0309	0.8107	0.7949	0.8942
77	0.432348	7.8166	8.3976	7.3107	19.0276	0.8037	0.7987	0.8953
78	0.451337	8.3938	8.8474	7.9844	18.9906	0.8111	0.8218	0.8983
79	0.373021	7.6096	8.1486	7.1375	18.4576	0.8069	0.7956	0.8983
80	0.421013	7.4328	8.5952	6.5474	18.3255	0.8098	0.8158	0.8964
81	0.419365	8.1946	8.7545	7.7020	19.4234	0.8132	0.8169	0.8966
82	0.388478	8.2261	8.4424	8.0207	18.0516	0.8116	0.8106	0.9007
83	0.390644	8.5547	8.6544	8.4573	19.2518	0.8123	0.8156	0.9025
84	0.390395	8.6050	8.5263	8.6851	18.2308	0.8103	0.8095	0.8982
85	0.445412	8.2234	8.2663	8.1809	18.3531	0.8108	0.8113	0.8985
86	0.478767	7.4921	8.1335	6.9446	19.2489	0.8051	0.7875	0.9000
87	0.361587	7.5422	8.4276	6.8251	19.3068	0.8101	0.8077	0.9004
88	0.379430	7.9225	8.3023	7.5759	18.6456	0.8091	0.8130	0.8984
89	0.390139	8.0345	8.3639	7.7300	18.3003	0.8102	0.8138	0.9000
90	0.530726	8.6358	8.6773	8.5947	19.3245	0.8126	0.8185	0.9034
91	0.382306	8.7764	8.6605	8.8955	18.6187	0.8146	0.8230	0.9041
92	0.363482	8.6572	8.6650	8.6493	19.0169	0.8146	0.8226	0.9033
93	0.438019	9.1353	8.9506	9.3278	18.4967	0.8183	0.8226	0.9004
94	0.374216	8.4649	8.5339	8.3971	18.9556	0.8089	0.8088	0.9078
95	0.380139	7.9083	8.1757	7.6578	18.7621	0.8096	0.8016	0.9071
96	0.406572	7.7381	8.3408	7.2166	19.1582	0.8084	0.8005	0.9024
97	0.369686	8.3398	8.5837	8.1094	18.1185	0.8129	0.8072	0.9023
98	0.450941	8.1145	8.4673	7.7898	18.0722	0.8120	0.8071	0.9017
99	0.453093	8.0771	8.6135	7.6037	18.4085	0.8150	0.8175	0.9027
100	0.363479	8.0660	8.5170	7.6603	18.9972	0.8150	0.8137	0.9046
101	0.410125	8.1926	8.6777	7.7589	18.1954	0.8122	0.8212	0.8983
102	0.399249	8.4216	8.7717	8.0983	18.2029	0.8128	0.8142	0.9017
103	0.367786	9.0347	8.9158	9.1569	18.1140	0.8088	0.8185	0.9033
104	0.380340	8.8378	8.9748	8.7049	18.1049	0.8161	0.8197	0.9021
105	0.457968	8.5805	8.7565	8.4114	18.9652	0.8166	0.8154	0.9047
106	0.387703	8.6578	8.7250	8.5915	18.4608	0.8192	0.8151	0.9014
107	0.398889	8.6170	8.6726	8.5621	18.8835	0.8189	0.8116	0.9000
108	0.371783	8.6565	8.7549	8.5604	19.2235	0.8201	0.8111	0.9007
109	0.434203	8.6792	9.0169	8.3659	18.8644	0.8194	0.8094	0.8987
110	0.356485	9.1383	9.0717	9.2058	18.6499	0.8160	0.8146	0.8974
111	0.419150	8.6660	8.6472	8.6849	18.7364	0.8109	0.8159	0.8949
112	0.439355	9.0672	9.0386	9.0960	18.4782	0.8125	0.8158	0.8960
113	0.394081	8.7108	8.6254	8.7980	18.6794	0.8204	0.8095	0.8984
114	0.449393	8.6231	8.7098	8.5382	18.5172	0.8152	0.7989	0.8984
115	0.429524	8.2414	8.4531	8.0401	18.6457	0.8104	0.7987	0.8939
116	0.437474	8.6675	8.6219	8.7136	18.5253	0.8121	0.8094	0.8942
117	0.422018	8.9143	8.7855	9.0470	18.3549	0.8140	0.8096	0.8950
118	0.341823	8.2682	8.4730	8.0730	18.4660	0.8072	0.7962	0.9022
119	0.422515	9.0943	8.7902	9.4202	18.9323	0.8150	0.8229	0.9031
120	0.342875	8.5683	8.3061	8.8476	18.6439	0.8099	0.8067	0.9018
121	0.333119	9.2236	8.5873	9.9619	19.4128	0.8180	0.8119	0.9053
122	0.387222	8.9629	8.5154	9.4599	18.8719	0.8209	0.7945	0.9037
123	0.391368	9.1207	8.6439	9.6532	18.9059	0.8155	0.8045	0.8994
124	0.372519	8.7314	8.7027	8.7603	18.8545	0.8183	0.8028	0.8988
