Epoch	loss	F-Rr	lAUC1	lAUC2	lAUC3	AUC1	AUC2	AUC3
76	0.405566	8.9873	9.2580	8.7321	15.7165	0.8305	0.7833	0.8663
77	0.376226	8.2335	9.0559	7.5480	16.3661	0.8295	0.7757	0.8678
78	0.464976	8.7676	9.0320	8.5182	16.4509	0.8354	0.7851	0.8685
79	0.416286	9.2958	9.2272	9.3654	16.9072	0.8424	0.8041	0.8663
80	0.440389	9.0847	9.1133	9.0563	17.5103	0.8367	0.7895	0.8662
81	0.412297	9.3601	9.3936	9.3269	17.1316	0.8311	0.7973	0.8655
82	0.349341	9.1105	9.4410	8.8024	16.0455	0.8366	0.7955	0.8699
83	0.417282	8.8477	9.3689	8.3814	15.6425	0.8387	0.8006	0.8692
84	0.362240	9.0853	9.1129	9.0580	16.4400	0.8301	0.7891	0.8656
85	0.432537	9.1805	9.4413	8.9337	17.1775	0.8316	0.7884	0.8656
86	0.454789	9.1400	9.0538	9.2278	15.7040	0.8400	0.8014	0.8720
87	0.401266	9.1399	9.1299	9.1498	16.4382	0.8383	0.7821	0.8708
88	0.407240	9.3257	9.1956	9.4596	16.2085	0.8414	0.7924	0.8725
89	0.418018	9.2699	9.1566	9.3860	16.8653	0.8458	0.7788	0.8738
90	0.365095	9.1664	9.4790	8.8739	16.3509	0.8291	0.7907	0.8675
91	0.365539	9.0940	9.2746	8.9203	15.8845	0.8396	0.7877	0.8654
92	0.389008	10.0408	9.7043	10.4014	15.1530	0.8383	0.8118	0.8671
93	0.405918	10.0384	9.6116	10.5048	16.9817	0.8361	0.8193	0.8689
94	0.362545	9.9895	10.0342	9.9453	15.2098	0.8321	0.8123	0.8669
95	0.402456	9.2215	9.0766	9.3712	17.4901	0.8348	0.7848	0.8703
96	0.353630	9.5544	9.5844	9.5246	15.6406	0.8308	0.7765	0.8683
97	0.373513	9.6015	9.4908	9.7148	15.1484	0.8361	0.7888	0.8659
98	0.390741	10.0615	9.8002	10.3371	15.4464	0.8399	0.7880	0.8691
99	0.425431	9.9419	9.3067	10.6702	15.4215	0.8475	0.7917	0.8715
100	0.351466	10.3385	9.6891	11.0812	15.4482	0.8430	0.8177	0.8722
101	0.415315	9.6648	9.7421	9.5888	15.3453	0.8324	0.8074	0.8718
102	0.403784	10.4112	9.9288	10.9429	15.6132	0.8364	0.8300	0.8713
103	0.388736	9.8824	9.6776	10.0961	16.3881	0.8411	0.7994	0.8729
104	0.353382	10.2721	9.7551	10.8471	15.5730	0.8408	0.8293	0.8674
105	0.480772	10.6162	10.1132	11.1717	16.9026	0.8368	0.8307	0.8715
106	0.363006	10.4088	9.6893	11.2438	16.1005	0.8383	0.8202	0.8721
107	0.430116	10.3867	9.8224	11.0199	15.4377	0.8326	0.8249	0.8722
108	0.363556	9.7111	9.8299	9.5951	17.0583	0.8302	0.8039	0.8706
109	0.449223	10.2554	9.7386	10.8301	16.5265	0.8395	0.8077	0.8714
110	0.427586	10.1972	9.8235	10.6004	15.9659	0.8453	0.8088	0.8728
111	0.352131	10.1059	9.6278	10.6340	17.3044	0.8467	0.8040	0.8727
112	0.368731	9.7543	9.8871	9.6250	15.6579	0.8273	0.8169	0.8670
113	0.389374	9.3414	9.8103	8.9154	15.1917	0.8313	0.7962	0.8695
114	0.335192	9.6570	9.1763	10.1909	14.7871	0.8356	0.7878	0.8714
115	0.401032	9.6037	9.5203	9.6887	15.7676	0.8433	0.7871	0.8726
116	0.378985	9.6102	9.1396	10.1318	14.9316	0.8290	0.8149	0.8636
117	0.326967	9.7860	9.6222	9.9555	15.0266	0.8418	0.8079	0.8660
118	0.380093	9.6116	9.7528	9.4744	14.1350	0.8428	0.8139	0.8626
119	0.385161	9.9346	9.8009	10.0720	14.6205	0.8441	0.8172	0.8640
120	0.332179	8.7008	9.3968	8.1007	15.4959	0.8405	0.7719	0.8682
121	0.355423	9.2651	9.1747	9.3573	14.4158	0.8385	0.8002	0.8723
122	0.327017	10.0540	9.6258	10.5221	13.9217	0.8248	0.8269	0.8676
123	0.368714	10.0224	9.9514	10.0945	14.7550	0.8376	0.8226	0.8717
124	0.399803	10.2113	9.9847	10.4485	15.0925	0.8424	0.8115	0.8706
125	0.408950	9.2687	9.8401	8.7600	14.9592	0.8294	0.7841	0.8763
126	0.337568	9.5074	9.7112	9.3119	13.8126	0.8288	0.7978	0.8720
127	0.341171	9.9257	9.7560	10.1013	14.3450	0.8310	0.8119	0.8707
128	0.301982	9.7107	9.8406	9.5841	14.8654	0.8414	0.7725	0.8738
129	0.410272	9.5299	9.9330	9.1582	14.9510	0.8331	0.7949	0.8761
130	0.333349	10.0228	10.0933	9.9532	14.5276	0.8318	0.8255	0.8725
131	0.326473	9.6318	9.8917	9.3852	14.0843	0.8227	0.8181	0.8752
132	0.297840	10.2642	10.0606	10.4762	13.0545	0.8317	0.8214	0.8692
133	0.419581	9.9149	10.3431	9.5208	13.7789	0.8263	0.8193	0.8751
134	0.413351	9.5184	10.0756	9.0196	14.5632	0.8282	0.8033	0.8743
135	0.339105	9.7979	9.5274	10.0843	14.6327	0.8482	0.8120	0.8689
136	0.365252	9.4917	9.6295	9.3577	16.1772	0.8411	0.8037	0.8705
137	0.329330	9.9221	9.7221	10.1304	15.1838	0.8509	0.8015	0.8712
138	0.321482	10.1436	10.0360	10.2534	15.3054	0.8397	0.8098	0.8693
139	0.300468	10.0330	9.8868	10.1837	16.1121	0.8412	0.7951	0.8653
140	0.298454	10.4646	9.9667	11.0148	15.0720	0.8407	0.8032	0.8655
141	0.376879	10.5684	9.9993	11.2062	14.8901	0.8358	0.8148	0.8726
142	0.293491	10.5587	9.8641	11.3586	13.8710	0.8396	0.8143	0.8716
143	0.395727	10.2117	9.9369	10.5021	14.2712	0.8313	0.8162	0.8661
144	0.412515	9.6031	9.5876	9.6186	14.5903	0.8283	0.8043	0.8643
145	0.387544	9.6807	9.6280	9.7340	15.2831	0.8323	0.8008	0.8635
146	0.312618	9.5967	9.6076	9.5859	15.8576	0.8296	0.7892	0.8695
147	0.364498	9.2185	9.5081	8.9459	15.7818	0.8379	0.7940	0.8672
148	0.296652	10.7781	10.0442	11.6277	14.9926	0.8535	0.8109	0.8646
149	0.362059	10.0296	9.7043	10.3774	14.6890	0.8476	0.7937	0.8664
